Team,Values,When,Season
Burnley FC,€44.75m,summer,2015
Watford FC,€36.75m,summer,2015
Manchester City,€418.25m,winter,2015
Liverpool FC,€310.75m,winter,2015
Chelsea FC,€483.50m,winter,2015
Manchester United,€425.00m,winter,2015
Tottenham Hotspur,€262.75m,winter,2015
Leicester City,€59.75m,winter,2015
Arsenal FC,€390.25m,winter,2015
Everton FC,€179.25m,winter,2015
Aston Villa,€105.50m,winter,2015
West Ham United,€119.75m,winter,2015
Wolverhampton Wanderers,€23.20m,winter,2015
Newcastle United,€122.25m,winter,2015
Leeds United,€26.55m,winter,2015
Southampton FC,€189.50m,winter,2015
Crystal Palace,€86.25m,winter,2015
Brighton & Hove Albion,€20.10m,winter,2015
Brentford FC,€19.05m,winter,2015
Norwich City,€61.80m,winter,2015
Burnley FC,€46.75m,winter,2015
Watford FC,€34.60m,winter,2015
Manchester City,€514.50m,summer,2016
Liverpool FC,€356.00m,summer,2016
Chelsea FC,€542.50m,summer,2016
Manchester United,€393.25m,summer,2016
Tottenham Hotspur,€297.00m,summer,2016
Leicester City,€99.50m,summer,2016
Arsenal FC,€402.00m,summer,2016
Everton FC,€208.25m,summer,2016
Aston Villa,€120.00m,summer,2016
West Ham United,€166.50m,summer,2016
Wolverhampton Wanderers,€30.75m,summer,2016
Newcastle United,€165.25m,summer,2016
Leeds United,€26.60m,summer,2016
Southampton FC,€193.75m,summer,2016
Crystal Palace,€121.00m,summer,2016
Brighton & Hove Albion,€29.10m,summer,2016
Brentford FC,€24.63m,summer,2016
Norwich City,€77.25m,summer,2016
Burnley FC,€43.65m,summer,2016
Watford FC,€85.25m,summer,2016
Manchester City,€501.75m,winter,2016
Liverpool FC,€366.35m,winter,2016
Chelsea FC,€490.00m,winter,2016
Manchester United,€411.75m,winter,2016
Tottenham Hotspur,€312.50m,winter,2016
Leicester City,€127.10m,winter,2016
Arsenal FC,€440.00m,winter,2016
Everton FC,€234.00m,winter,2016
Aston Villa,€105.25m,winter,2016
West Ham United,€172.00m,winter,2016
Wolverhampton Wanderers,€26.78m,winter,2016
Newcastle United,€182.00m,winter,2016
Leeds United,€23.70m,winter,2016
Southampton FC,€206.75m,winter,2016
Crystal Palace,€125.75m,winter,2016
Brighton & Hove Albion,€32.55m,winter,2016
Brentford FC,€20.83m,winter,2016
Norwich City,€93.85m,winter,2016
Burnley FC,€44.80m,winter,2016
Watford FC,€106.50m,winter,2016
Manchester City,€524.25m,summer,2017
Liverpool FC,€378.20m,summer,2017
Chelsea FC,€522.30m,summer,2017
Manchester United,€548.25m,summer,2017
Tottenham Hotspur,€373.50m,summer,2017
Leicester City,€215.50m,summer,2017
Arsenal FC,€490.50m,summer,2017
Everton FC,€248.25m,summer,2017
Aston Villa,€100.25m,summer,2017
West Ham United,€246.00m,summer,2017
Wolverhampton Wanderers,€49.80m,summer,2017
Newcastle United,€127.35m,summer,2017
Leeds United,€34.15m,summer,2017
Southampton FC,€205.00m,summer,2017
Crystal Palace,€160.75m,summer,2017
Brighton & Hove Albion,€47.85m,summer,2017
Brentford FC,€20.05m,summer,2017
Norwich City,€78.10m,summer,2017
Burnley FC,€69.00m,summer,2017
Watford FC,€129.50m,summer,2017
Manchester City,€525.25m,winter,2017
Liverpool FC,€371.20m,winter,2017
Chelsea FC,€515.00m,winter,2017
