Weekend,Month,Top Referee,Outcome,Home Avg Goal,Home Avg Opp Goal,Home Diff Goal,Home Rank,Last Season Home,Home Values,Home Win Percent,Home Lose Percent,Avg Goal (diff),Avg Opp Goal (diff),Diff Goal (diff),Rank (diff),Last Season (diff),Values (diff),Win Percent (diff),Lose Percent (diff),Top Win Home,Top Draw Home,Top Lose Home,Top Win Away,Top Draw Away,Top Lose Away
1,11,0,1,1.8333333333333333,0.5,8,9,21,71.47,0.6666666666666666,0.0,0.9761904761904762,-0.9285714285714286,12,-1,20,-383.88,0.6666666666666666,-0.5,0,0,0,1,0,0
1,11,0,1,1.1666666666666667,1.6666666666666667,-3,14,9,184.79000000000002,0.16666666666666666,0.5,0.0,0.6666666666666667,-4,12,6,-195.83499999999998,-0.16666666666666666,0.33333333333333337,0,1,0,1,1,0
1,11,1,1,2.0,0.8333333333333334,7,11,19,282.9,0.8333333333333334,0.0,0.16666666666666674,-1.333333333333333,9,8,15,-48.625,0.6666666666666667,-0.5,1,0,0,1,0,0
1,11,0,-1,0.6666666666666666,1.8333333333333333,-7,17,16,187.905,0.16666666666666666,0.6666666666666666,-0.761904761904762,0.6904761904761905,-9,10,-5,0.0,-0.33333333333333337,0.16666666666666663,0,0,0,0,0,0
1,11,0,0,0.7142857142857143,1.8571428571428568,-8,18,17,94.38,0.0,0.7142857142857143,0.5714285714285715,-0.4285714285714288,7,-2,11,-93.525,0.0,-0.1428571428571428,0,0,0,0,0,0
1,11,0,-1,1.7142857142857142,1.7142857142857142,0,15,7,206.75,0.42857142857142855,0.42857142857142855,0.5714285714285714,0.7142857142857142,-1,3,-1,72.85,0.14285714285714285,0.14285714285714285,0,0,0,0,0,1
1,11,0,1,1.2857142857142858,1.4285714285714286,-1,13,9,184.79000000000002,0.2857142857142857,0.42857142857142855,0.4285714285714287,-0.2857142857142856,5,-1,8,-270.56,0.2857142857142857,-0.14285714285714285,0,1,0,1,0,0
1,11,0,0,0.5714285714285714,1.7142857142857142,-8,17,16,187.905,0.14285714285714285,0.7142857142857143,-0.1428571428571429,0.5714285714285714,-5,11,11,70.155,-0.14285714285714285,0.28571428571428575,0,0,0,0,1,0
1,11,0,1,2.0,0.8571428571428571,8,10,19,282.9,0.8571428571428571,0.0,1.0,0.7142857142857143,2,7,5,53.39999999999998,0.2857142857142857,-0.14285714285714285,1,0,0,0,0,0
1,11,0,-1,1.8571428571428568,0.4285714285714285,10,8,21,71.47,0.7142857142857143,0.0,0.9999999999999997,-1.2857142857142856,16,-3,1,-25.555000000000007,0.5714285714285714,-0.5714285714285714,0,0,0,0,0,0
